ime1,T033,T033_e,P33,P33_e,EE,EE_e,ASINI,ASINI_e,WWW,WWW_e,Y,Y_e,Masaz,Masaz_e,P2
V1100Her,55840.308934868845,415.713530596647,5502.9802266651,829.0904670919516,0.3405587068211559,0.17347859506591315,277908195.0321114,36404224.20218562,3.710809360976553,0.5770674723639524,0.0038043833289061945,0.0018110896767438082,0.5715713597112876,0.08371245642844415,0.346931
V1139Cas,54969.19071508436,184.2177289208445,5623.5594607325975,313.73822857569775,0.9886161317763057,0.2603967043958785,510374519.0232856,85977161.53945531,3.8996115713200896,0.3891392070880321,-0.013393289619319827,0.001981852953021902,1.1959638345169032,0.23235347537231632,0.2971
WWDra,3039.7917500066346,3280.5262806121113,49502.11508270926,1380.3614663136964,0.16783971900051953,0.06967182010774689,7251946865.80897,277311701.1626399,2.8302482008206757,0.36770795350895363,0.3728459562989445,0.010776097149689632,9.192120776997998,0.7195767635054073,4.62972
WXAnd,35005.43575957505,3555.2584076564603,25750.423785241503,3805.0199152377436,0.8132968745026647,0.3207645532502695,8975871992.934925,1994891069.2159243,3.631670508681106,0.8327652201336126,-0.2522774501661725,0.03292432024360189,47.207183032682714,19.199093741528007,3.001184
XTri,30160.395714413884,7262.294893061357,182461.55105953367,17823.133746535048,0.45369242396665876,0.13690032473310912,4210740858.2286897,1520063758.0498536,3.740991217463326,0.21602181019239952,0.036916417797976435,0.06261013130140793,0.9115021652752089,0.54891949898677,0.97153
XZPer,47374.654331767066,228.81320137411254,31447.948386592205,1712.8140004266268,0.6617345286555303,0.06975910364547784,650632111.8945818,97576328.70801869,5.477276017867038,0.07986061803136377,-0.02201779265471731,0.0007320525763754549,0.39978261465153314,0.05655808233895755,1.1516313
YCyg,14115.467138178014,2377.8197404100683,17144.020254403862,67.35342764790333,5.9940177199125454e-21,0.06873567364606196,3563813032.586661,45871159.62194207,4.752245910171223,0.8729280083359054,-0.00400263008847639,0.001474663321521215,9.120780167752635,0.24417581258822224,2.996332
YSex,64229.43877199622,3004.692602995267,32379.055483276577,3481.77722735514,0.0845628875409511,0.18850489199651213,1556328667.732425,187286950.44645166,4.549623241452033,0.983470393784935,0.0005006597812185147,0.008088747616857194,1.1163195917929918,0.15412443439108053,0.4198165
YYCrB,53374.890417019895,133.8069596779227,10950.147516980009,433.80527414364053,0.3856179945870591,0.054037578196350904,597728097.1664042,39564419.376532294,4.981310751917971,0.10604357703216702,-0.022156132456527648,0.0003511418991515731,0.8278775632745077,0.052603623262222954,0.37656
ZPer,8892.57507812865,6195.155337175986,82327.0612128262,15075.499374560535,0.09727556477084923,0.11640002957171547,8975871296.93672,503540079.66967106,2.1682345474090634,0.5215462429302601,-0.21012392035940486,0.009548827695328329,7.018347649812893,0.8748488842053564,3.056285
