-10357,-0.0004,41511.525,p,vis,Locher Kurt,,"B,0004,B,0004,,",
-10354,0.0073,41512.567,p,vis,Locher Kurt,,"B,0004,B,0004,,",
-10352,0.0027,41513.424,s,vis,Locher Kurt,,"B,0004,B,0004,,",
-10343,0.0066,41516.531,s,vis,Locher Kurt,,"B,0004,B,0004,,",
-10340,0.0122,41517.571,s,vis,Locher Kurt,,"B,0004,B,0004,,",
-10328,0.0097,41521.534,p,vis,Locher Kurt,,"B,0004,B,0004,,",
-10308,-0.0032,41528.417,p,vis,Locher Kurt,,"B,0004,B,0004,,",
-10285,0.0046,41536.527,s,vis,Diethelm Roger,,"B,0005,B,0005,,",
-10233,0.0015,41554.453,s,vis,Diethelm Roger,,"B,0005,B,0005,,",
-10210,-0.0007,41562.381,s,vis,Peter H,,,"B,0005,B,0005,,"
-10155,0.0007,41581.346,s,vis,Diethelm Roger,,"B,0005,B,0005,,",
-10155,0.0137,41581.359,s,vis,Peter H,,,"B,0005,B,0005,,"
-10152,0.0043,41582.384,s,vis,Diethelm Roger,,"B,0005,B,0005,,",
-10132,0.0005,41589.276,s,vis,Locher Kurt,,"B,0005,B,0005,,",
-10126,-0.0162,41591.328,s,vis,Locher Kurt,,"B,0005,B,0005,,",
-10088,0.0047,41604.279,p,vis,Locher Kurt,,"B,0006,B,0006,,",
-10071,-0.0018,41610.306,s,vis,Germann R,,"B,0006,B,0006,,",
-9949,0.0006,41652.201,p,vis,Locher Kurt,,"B,0006,B,0006,,",
-9800,0.0037,41703.75,s,vis,Locher Kurt,,"B,0007,B,0007,,",
-9791,0.0005,41706.678,p,vis,Locher Kurt,,"B,0007,B,0007,,",
-9730,0.0022,41727.712,p,vis,Locher Kurt,,"B,0008,B,0008,,",
-9557,0.0033,41787.534,s,vis,Locher Kurt,,"B,0009,B,0009,,",
-9522,0.0106,41799.609,s,vis,Locher Kurt,,"B,0009,B,0009,,",
-9493,0.0096,41809.607,s,vis,Locher Kurt,,"B,0009,B,0009,,",
-9479,0.0075,41814.432,s,vis,Peter H,,,"B,0009,B,0009,,"
-9478,0.0087,41814.606,p,vis,Locher Kurt,,"B,0009,B,0009,,",
-9450,0.0086,41824.432,s,vis,Peter H,,,"B,0009,B,0009,,"
-9449,0.0018,41824.598,p,vis,Locher Kurt,,"B,0009,B,0009,,",
-9435,0.0057,41829.429,p,vis,Peter H,,,"B,0009,B,0009,,"
-9435,0.0007,41829.596,s,vis,Locher Kurt,,"B,0009,B,0009,,",
-9412,0.0045,41837.358,p,vis,Locher Kurt,,"B,0010,B,0010,,",
-9394,0.0112,41843.571,p,vis,Locher Kurt,,"B,0010,B,0010,,",
-9389,0.0093,41845.465,s,vis,Peter H,,,"B,0010,B,0010,,"
-9374,0.0044,41850.46,p,vis,Locher Kurt,,"B,0010,B,0010,,",
-9366,0.0071,41853.393,s,vis,Diethelm Roger,,"B,0010,B,0010,,",
-9336,0.0123,41863.57,p,vis,Locher Kurt,,"B,0010,B,0010,,",
-9322,0.0032,41868.388,p,vis,Germann R,,"B,0010,B,0010,,",
-9319,0.0019,41869.421,p,vis,Germann R,,"B,0010,B,0010,,",
-9305,0.0058,41874.424,s,vis,Peter H,,,"B,0010,B,0010,,"
-9247,0.0118,41894.428,s,vis,Peter H,,,"B,0010,B,0010,,"
-9218,0.0089,41904.424,s,vis,Peter H,,,"B,0011,B,0011,,"
-9195,0.0067,41912.352,s,vis,Germann R,,"B,0011,B,0011,,",
-9177,-0.0026,41918.377,p,vis,Diethelm Roger,,"B,0011,B,0011,,",
-9177,-0.0016,41918.378,p,vis,Germann R,,"B,0011,B,0011,,",
-9177,0.0054,41918.385,p,vis,Peter H,,,"B,0011,B,0011,,"
-9145,0.0081,41929.421,p,vis,Peter H,,,"B,0011,B,0011,,"
-9137,0.0018,41932.345,s,vis,Germann R,,"B,0011,B,0011,,",
-9137,0.0058,41932.349,s,vis,Peter H,,,"B,0011,B,0011,,"
-9119,0.0045,41938.382,p,vis,Peter H,,,"B,0011,B,0011,,"
-9111,0.0002,41941.308,s,vis,Germann R,,"B,0011,B,0011,,",
-9111,0.0042,41941.312,s,vis,Locher Kurt,,"B,0011,B,0011,,",
-9041,0.0038,41965.275,p,vis,Locher Kurt,,"B,0012,B,0012,,",
-8983,-0.0012,41985.268,p,vis,Locher Kurt,,"B,0012,B,0012,,",
-8928,0.0033,42004.236,p,vis,Peter H,,,"B,0012,B,0012,,"
-8712,-0.0017,42078.706,p,vis,Germann R,,"B,0013,B,0013,,",
-8559,0.0052,42131.638,s,vis,Locher Kurt,,"B,0014,B,0014,,",
-8487,-0.0008,42156.457,s,vis,Germann R,,"B,0015,B,0015,,",
-8487,0.0092,42156.467,s,vis,Peter H,,,"B,0015,B,0015,,"
-8481,0.0044,42158.531,s,vis,Germann R,,"B,0015,B,0015,,",
-8478,0.002,42159.563,s,vis,Locher Kurt,,"B,0015,B,0015,,",
-8420,0.0061,42179.565,s,vis,Locher Kurt,,"B,0015,B,0015,,",
-8417,0.0057,42180.427,p,vis,Germann R,,"B,0015,B,0015,,",
-8406,0.001,42184.387,s,vis,Germann R,,"B,0015,B,0015,,",
-8400,0.0043,42186.459,s,vis,Peter H,,,"B,0015,B,0015,,"
-8356,0.0034,42201.457,p,vis,Peter H,,,"B,0016,B,0016,,"
