0,0,48500.263,p,V,Hipparcos,,"0,Hipp,0,Hipp,,",
24625,-0.0018,56053.1796,p,V,Itoh Hiroshi,,"J,0055,,, *17,30SC+DSI-Pro",
24896,-0.0011,56136.4538,s,I,Vrastak M,,"C,0038,E,0160,,15cm+G2",
24896,-0.0009,56136.454,s,V,Vrastak M,,"C,0038,E,0160,,15cm+G2",
24896,-0.0006,56136.4543,s,R,Vrastak M,,"C,0038,E,0160,,15cm+G2",
26216,-0.0012,56541.3208,s,V,Parimucha S,,"I,6167,,,,C11+G2",
26944,-0.004,56764.4553,p,-I,Agerer Franz,,"D,0238,I,6149,,Sigma 1603",
26944,-0.0031,56764.6092,s,-I,Agerer Franz,,"D,0238,I,6149,,Sigma 1603",
26983,-0.0046,56776.4167,p,-I,Agerer Franz,,"D,0238,I,6149,,Sigma 1603",
27990,-0.0026,57085.4362,s,V,Parimucha S,,"I,6167,,,,C11+G2",
28036,-0.0049,57099.3899,p,V,Parimucha S,,"I,6167,,,,ZIGA-G4",
28036,-0.0034,57099.5444,s,V,Parimucha S,,"I,6167,,,,ZIGA-G4",
28108,-0.0048,57121.4737,p,-I,Agerer Franz,,"D,0244,I,6196,,Sigma 1603",
28147,-0.0052,57133.4352,p,R,Smelcer L,,"C,0040,E,0179,,Celestron 28",
28147,-0.0048,57133.4356,p,ccd,Smelcer L,,"C,0040,E,0179,,Celestron 28",
28147,-0.0046,57133.4359,p,I,Smelcer L,,"C,0040,E,0179,,Celestron 28",
28411,-0.0044,57214.4095,p,VI,Parimucha S,,"I,6167,,,,ZIGA-G4",
29060,-0.0031,57413.6235,s,ccd,Martin Magris,,"C,0040,E,0179,,Achromatic r",
29258,-0.0037,57474.3529,s,-I,Agerer Franz,,"D,0244,I,6196,,Sigma 1603",
29259,-0.0072,57474.5031,p,-I,Agerer Franz,,"D,0244,I,6196,,Sigma 1603",
29343,-0.0025,57500.4251,s,ccd,Cervinka L.,,"C,0040,E,0179,,NWT 200/1000",
30256,-0.0038,57780.4569,s,ccd,Cervinka L.,,"C,0041,E,0194,,102+Atik314L",
30257,-0.0043,57780.6101,p,ccd,Cervinka L.,,"C,0041,E,0194,,102+Atik314L",
30308,-0.0033,57796.4067,s,ccd,Medulka T.,,"C,0041,E,0194,,90mm+G1-300",
30416,-0.003,57829.3795,p,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
30416,-0.0039,57829.5316,s,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
30446,-0.0036,57838.5805,p,ccd,Masek M,,,"C,0041,E,0194,,25cm+G2-8300"
30543,-0.0033,57868.3323,p,R,Smelcer L,,"C,0041,E,0194,,35cm+G2-1600",
30543,-0.0032,57868.3324,p,V,Smelcer L,,"C,0041,E,0194,,35cm+G2-1600",
30543,-0.0027,57868.4859,s,R,Smelcer L,,"C,0041,E,0194,,35cm+G2-1600",
30543,-0.0027,57868.4859,s,V,Smelcer L,,"C,0041,E,0194,,35cm+G2-1600",
31681,-0.0003,58217.3798,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
31681,0.002,58217.5351,s,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
32734,0.005,58540.5116,s,-Ir,Agerer Franz,,"D,0033,,,,Sigma 1603",
32735,0.004,58540.6644,p,-Ir,Agerer Franz,,"D,0033,,,,Sigma 1603",
34035,0.0082,58939.4013,p,-Ir,Agerer Franz,,"D,0052,,,,S1603",
34035,0.0089,58939.555,s,-Ir,Agerer Franz,,"D,0052,,,,S1603",
