75923,-0.012,57766.9618,s,B,Nagai Kazuo,,"J,0064,,,,20cm+ST402",
75923,-0.0117,57766.9621,s,V,Nagai Kazuo,,"J,0064,,,,20cm+ST402",
75923,-0.0108,57766.963,s,Ic,Nagai Kazuo,,"J,0064,,,,20cm+ST402",
76715,-0.0089,58083.7548,s,V,Samolyk G.,,"A,0461,,,,",
76893,-0.0065,58154.755,p,ccd,Frey G,,,"A,,,,JAAVSO 47,"
76939,-0.0072,58173.3537,s,V,Arranz  T.,,"A,0462,,,,",
77540,-0.0062,58413.547,p,ccd,Paschke Anton,,"E,0191,,,,28cm+G2",
77730,-0.005,58489.7458,s,V,Samolyk G,,"A,,,,JAAVSO 47,",
77779,-0.0045,58509.3457,s,V,Arranz T,,"A,,,,JAAVSO 47,",
77782,-0.0038,58510.3464,p,V,Arranz T,,"A,,,,JAAVSO 47,",
78757,-0.0017,58900.3361,p,V,Arranz T,,"A,,,,JAAVSO 48,",
78762,0.0003,58902.338,p,V,Arranz T,,"A,,,,JAAVSO 48,",
