3708,-0.0057,49214.4502,p,vis,Stuhl A,,,"C,0031,,,,"
3723,-0.001,49218.5212,s,vis,Marek T,,,"C,0031,,,,"
3758,0.0026,49228.3394,s,vis,Moschner Wolfg,,"D,0068,,,,",
3836,0.0016,49250.351,p,vis,Paschke Anton,,"B,0105,,,,",
3837,0.0011,49250.491,s,vis,Paschke Anton,,"B,0105,,,,",
4075,0.0023,49317.2317,s,vis,Moschner Wolfg,,"D,0068,,,,",
6226,0.0065,49920.555,p,vis,Zejda Miloslav,,"C,0032,,,,RF150",
6237,-0.0013,49923.4918,s,vis,Zejda Miloslav,,"C,0032,,,,RF150",
7517,0.0058,50282.4339,s,vis,Surova L,,"C,0032,,,,RF100",
7517,0.0065,50282.4346,s,vis,Parimucha S,,"C,0032,,,,RF100",
7517,0.0092,50282.4373,s,vis,Rusnak M,,"C,0032,,,,RF100",
7517,0.0113,50282.4394,s,vis,Kramarova M,,"C,0032,,,,RF100",
7517,0.0148,50282.4429,s,vis,Rusinko J,,"C,0032,,,,RF100",
7638,0.002,50316.3607,s,vis,Safar Jan,,"C,0032,I,4887,,RF150",
7638,0.0016,50316.5003,p,ccd,Zejda Miloslav,,"C,0032,I,4887,,",
9018,-0.0162,50703.4593,p,vis,Kral L,,,"C,0032,,,,RF70"
9033,0.0084,50707.5502,s,ccd,Safar Jan,,"C,0032,I,4887,,",
9053,0.0044,50713.2946,p,ccd,Safar Jan,,"C,0032,I,4887,,",
9467,0.0021,50829.2453,s,ccd,Safar Jan,,"C,0032,I,4887,,",
10042,-0.0053,50990.4783,s,vis,Nevaril F,,"C,0032,,,,RL200",
10152,0.0009,51021.4704,p,vis,Lutcha P,,"C,0032,,,,RF80",
10152,0.003,51021.4725,p,vis,Adamova L,,"C,0032,,,,SB",
10152,0.0058,51021.4753,p,vis,Brat Lubos,,"C,0032,,,,RF80",
10188,0.0045,51031.4291,s,vis,Hajek P,,,"C,0032,,,,RL170"
10191,0.0032,51032.409,p,vis,Hajek P,,,"C,0032,,,,RL170"
11081,0.0001,51281.838,s,ccd,Paschke Anton,,"0,home,,,,Rotse",
11618,0.0009,51432.4232,s,vis,Jindra J,,"C,0032,,,,RL180",
