3275,0.0042,42890.436,p,vis,Ralincourt Ph,,"B,0028,B,0028,,",
3466,0.0052,43212.481,p,vis,Locher Kurt,,"B,0033,B,0033,,",
3466,0.0052,43212.481,p,vis,Peter H,,,"B,0033,B,0033,,"
3482,0.0037,43239.457,p,vis,Diethelm Roger,,"B,0033,B,0033,,",
3482,0.0057,43239.459,p,vis,Peter H,,,"B,0033,B,0033,,"
3699,0.0083,43605.344,p,vis,Winiarski M,,"N,0301,,,,",
3721,0.0042,43642.434,p,vis,Peter H,,,"B,0037,B,0037,,"
3867,0.0075,43888.607,p,vis,Locher Kurt,,"B,0041,B,0041,,",
3877,0.0066,43905.467,p,vis,Locher Kurt,,"B,0041,B,0041,,",
3893,0.0081,43932.446,p,vis,Peter H,,,"B,0042,B,0042,,"
3896,0.0148,43937.511,p,vis,Locher Kurt,,"B,0042,B,0042,,",
3899,0.0065,43942.561,p,vis,Locher Kurt,,"B,0042,B,0042,,",
3906,0.0098,43954.367,p,vis,Locher Kurt,,"B,0042,B,0042,,",
4078,0.0097,44244.375,p,vis,Locher Kurt,,"B,0046,B,0046,,",
4100,0.0126,44281.472,p,vis,Locher Kurt,,"B,0046,B,0046,,",
4113,0.0134,44303.392,p,vis,Peter H,,,"B,0047,B,0047,,"
4132,0.0116,44335.426,p,vis,Locher Kurt,,"B,0047,B,0047,,",
4135,0.0123,44340.485,p,vis,Peter H,,,"B,0047,B,0047,,"
4148,0.0141,44362.406,p,vis,Peter H,,,"B,0048,B,0048,,"
4148,0.0201,44362.412,p,vis,Locher Kurt,,"B,0048,B,0048,,",
4151,0.0078,44367.458,p,vis,Locher Kurt,,"B,0048,B,0048,,",
4171,0.0169,44401.189,p,vis,Silhan Jindrich,,"C,0023,C,0023,,",
4297,0.0201,44613.64,p,vis,Silhan Jindrich,,"C,0026,C,0026,,",
4300,0.0208,44618.699,p,vis,Locher Kurt,,"B,0052,B,0052,,",
4317,0.0152,44647.357,p,vis,Stoikidis N,,"B,0053,B,0053,,",
4317,0.0172,44647.359,p,vis,Mavrofridis G,,"B,0053,B,0053,,",
4317,0.0222,44647.364,p,vis,Parris A,,"B,0053,B,0053,,",
4326,0.0204,44662.537,p,vis,Locher Kurt,,"B,0053,B,0053,,",
4355,0.0196,44711.433,p,vis,Locher Kurt,,"B,0054,B,0054,,",
4358,0.0203,44716.492,p,vis,Locher Kurt,,"B,0054,B,0054,,",
4485,0.0284,44930.634,p,vis,Locher Kurt,,"B,0057,B,0057,,",
4511,0.017,44974.461,p,vis,Andrakakou M,,"B,0058,B,0058,,",
4511,0.022,44974.466,p,vis,Mourikis D,,"B,0058,B,0058,,",
4527,0.0205,45001.442,p,vis,Locher Kurt,,"B,0058,B,0058,,",
4527,0.0223,45001.4438,p,vis,Manek J,,,"C,0026,C,0026,,"
4537,0.0255,45018.308,p,vis,Germann R,,"B,0059,B,0059,,",
4552,0.0241,45043.598,p,vis,Locher Kurt,,"B,0059,B,0059,,",
4556,0.0187,45050.337,p,vis,Locher Kurt,,"B,0059,B,0059,,",
4575,0.02,45082.374,p,vis,Locher Kurt,,"B,0060,B,0060,,",
4575,0.02,45082.374,p,vis,Peter H,,,"B,0060,B,0060,,"
4578,0.0167,45087.429,p,vis,Locher Kurt,,"B,0060,B,0060,,",
4724,0.0199,45333.602,p,vis,Locher Kurt,,"B,0064,B,0064,,",
4731,0.0213,45345.406,p,vis,Peter H,,,"B,0064,B,0064,,"
4756,0.0189,45387.556,p,vis,Locher Kurt,,"B,0065,B,0065,,",
4763,0.0163,45399.356,p,vis,Peter H,,,"B,0065,B,0065,,"
4763,0.0183,45399.358,p,vis,Germann R,,"B,0065,B,0065,,",
4763,0.0193,45399.359,p,vis,Locher Kurt,,"B,0065,B,0065,,",
4766,0.018,45404.416,p,vis,Peter H,,,"B,0065,B,0065,,"
4772,0.0164,45414.531,p,vis,Locher Kurt,,"B,0065,B,0065,,",
4782,0.0215,45431.397,p,vis,Locher Kurt,,"B,0066,B,0066,,",
4785,0.0192,45436.453,p,vis,Locher Kurt,,"B,0066,0,GCVS,,",
4798,0.02,45458.373,p,vis,Stoikidis N,,"B,0067,B,0067,,",
4880,0.0193,45596.632,p,vis,Locher Kurt,,"B,0068,B,0068,,",
4896,0.0138,45623.604,p,vis,Locher Kurt,,"B,0069,B,0069,,",
4896,0.0138,45623.604,p,vis,Daratsakis Ch,,"B,0069,B,0069,,",
4938,0.0178,45694.424,p,vis,Locher Kurt,,"B,0070,B,0070,,",
4973,0.0105,45753.43,p,vis,Kohl Michael,,"B,0071,B,0071,,",
4973,0.0105,45753.43,p,vis,Elias D,,,"B,0071,B,0071,,"
4973,0.0145,45753.434,p,vis,Locher Kurt,,"B,0071,B,0071,,",
4992,0.0168,45785.472,p,vis,Locher Kurt,,"B,0071,B,0071,,",
5008,0.0152,45812.448,p,vis,Peter H,,,"B,0072,B,0072,,"
5174,0.0176,46092.342,p,vis,Mavrofridis G,,"B,0076,B,0076,,",
