24501,-0.0514,55985.215,p,Rc,Shiokawa Kazuhik,"J,0055,,,,35SC+ST-9E",,
24508,-0.0521,55988.4418,s,V,Quester Wolfgan,,"D,0228,I,6048,,ST-7E",
24559,-0.0506,56010.3915,s,V,Quester Wolfgan,,"D,0228,I,6048,,ST-7E",
24561,-0.0558,56011.032,p,Rc,Nagai Kazuo,,"J,0055,,,,20SC+SV-04LE",
24566,-0.0518,56013.1878,p,V,Itoh Hiroshi,,"J,0055,,,,30SC+DSI-Pro",
24616,-0.0522,56034.7053,p,V,Diethelm Roger,,"I,6029,,,,Astrokolchoz",
25364,-0.0451,56356.8352,s,R,Nelson Robert,,"I,6092,,,,",
26133,-0.042,56687.5687,p,BVRI,Yasemin Karademi,"I,6125,,,,",,
26150,-0.042,56694.8847,p,R,Nelson Robert,,"I,6131,,,,33cm+ST10",
26216,-0.0407,56723.5046,s,-I,Agerer Franz,,"D,0238,I,6149,,Sigma 1603",
26221,-0.0416,56725.4405,p,R,Corp L,,,"A,,,,JAAVSO 62,"
26228,-0.0415,56728.4531,p,V,QU,,,"D,0238,I,6149,,ST-7E"
26246,-0.0394,56736.4167,s,ccd,Schmidt U,,"D,0238,I,6149,,ST-7",
26929,-0.0385,57030.1371,p,V,Itoh Hiroshi,,"J,0061,,,,6R+DSI-II",
27097,-0.0364,57102.4393,p,V,Quester W,,"D,0241,I,6157,,ST-7E",
27110,-0.0363,57108.0341,p,V,Nagai Kazuo,,"J,0061,,,,20SC+ST-402",
27110,-0.0362,57108.0342,p,Ic,Nagai Kazuo,,"J,0061,,,,20SC+ST-402",
27110,-0.0361,57108.0343,p,B,Nagai Kazuo,,"J,0061,,,,20SC+ST-402",
27867,-0.0326,57434.0338,s,V,Itoh Hiroshi,,"J,0063,,,,6R+ATIK414EX",
27870,-0.034,57435.1085,p,Ic,Nagai Kazuo,,"J,0063,,,,10L+CV-04",
27939,-0.0317,57465.0205,s,V,Nagai Kazuo,,"J,0063,,,,20SC+ST-402",
27939,-0.0317,57465.0205,s,Ic,Nagai Kazuo,,"J,0063,,,,20SC+ST-402",
27939,-0.0313,57465.0209,s,B,Nagai Kazuo,,"J,0063,,,,20SC+ST-402",
27942,-0.0303,57466.3129,s,-I,Agerer Franz,,"D,0244,I,6196,,Sigma 1603",
27943,-0.0329,57466.5257,p,-I,Agerer Franz,,"D,0244,I,6196,,Sigma 1603",
28736,-0.026,57807.8065,p,R,Nelson Robert,,"I,6234,,,,33cm+ST10XME",
28786,-0.0273,57829.3231,p,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
28786,-0.0274,57829.538,s,ccd,Hladik B,,"C,0041,E,0194,,62.5mm+Canon",
28786,-0.0257,57829.5397,s,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
29646,-0.0195,58199.4388,p,ccd,Urbanik M,,"C,0041,E,0194,,102mm+G2-830",
29655,-0.02,58203.3115,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
30375,-0.0132,58513.1761,p,cG,Nagai Kazuo,,"J,0067,,,,8R+EOS.Kis.X",
30501,-0.0133,58567.4011,p,V,Corp L,,,"A,,,,JAAVSO 47,"
30528,-0.0106,58579.0234,p,cG,Nagai Kazuo,,"J,0067,,,,8R+EOS.Kis.X",
31160,-0.008,58851.2273,s,V,Nagai Kazuo,,"J,0069,,,,15L+ST-402",
31160,-0.0078,58851.2275,s,Ic,Nagai Kazuo,,"J,0069,,,,15L+ST-402",
31160,-0.0077,58851.2276,s,B,Nagai Kazuo,,"J,0069,,,,15L+ST-402",
