-4974,-0.0164,40403.431,p,vis,Locher Kurt,,"B,..19,B,..19,Ori 114,",
-4974,-0.0102,40403.4372,p,V,Caliskan A,,"I,0369,I,0456,,",
-4965,-0.0091,40417.378,p,vis,Locher Kurt,,"B,..19,B,..19,Ori 114,",
-4956,-0.0107,40431.3161,p,V,Ibanoglu C,,"I,0369,I,0456,,",
-4934,-0.0338,40465.368,p,vis,Germann R,,"B,..20,B,..20,Ori 115,",
-4923,-0.0192,40482.42,p,vis,Locher Kurt,,"B,..20,B,..20,Ori 115,",
-4885,-0.0189,40541.277,p,vis,Locher Kurt,,"B,..21,B,..21,Ori 116,",
-4766,-0.0192,40725.591,p,vis,Locher Kurt,,"B,..24,B,..24,Ori 119,",
-4748,-0.0177,40753.472,p,vis,Diethelm Roger,,"B,..25,B,..25,Ori 120,",
-4730,-0.0116,40781.3576,p,pe,Karacan H,,"I,0530,I,0530,,48 cm",
-4719,-0.0177,40798.389,p,vis,Locher Kurt,,"B,..25,B,..25,Ori 120,",
-4719,-0.0027,40798.404,p,vis,Germann R,,"B,..25,B,..25,Ori 120,",
-4717,-0.0074,40801.497,p,vis,Diethelm Roger,,"B,..26,B,..26,Ori 121,",
-4695,-0.0143,40835.565,p,vis,Mayer E,,,"B,..26,B,..26,Ori 121,"
-4562,-0.0157,41041.562,p,vis,Locher Kurt,,"B,..29,B,..29,Ori 124,",
-4553,-0.0104,41055.507,p,vis,Peter H,,,"B,..30,B,..30,Ori 125,"
-4526,-0.0156,41097.321,p,pe,Karacan H,,"I,0647,I,0647,,48 cm",
-4520,-0.0118,41106.618,p,vis,Mayer E,,,"B,..30,B,..30,Ori 125,"
-4493,-0.019,41148.43,p,vis,Germann R,,"B,..31,B,..31,Ori 126,",
-4493,-0.01,41148.439,p,vis,Meyer A,,,"B,..31,B,..31,Ori 126,"
-4489,-0.0155,41154.629,p,vis,Mayer E,,,"B,..31,B,..31,Ori 126,"
-4482,-0.0265,41165.46,p,vis,Diethelm Roger,,"B,..31,B,..31,Ori 126,",
-4482,-0.0205,41165.466,p,vis,Peter H,,,"B,..32,B,..32,Ori 127,"
-4480,-0.0092,41168.575,p,vis,Locher Kurt,,"B,..31,B,..31,Ori 126,",
-4238,-0.0199,41543.3884,p,pe,Baldinelli Luigi,"I,0838,I,0838,,",,
-4238,-0.0123,41543.396,p,vis,Frasincki L,,"I,0740,I,0740,,",
-4238,-0.0103,41543.398,p,vis,Zaluski W,,"I,0740,I,0740,,",
-4227,-0.0208,41560.425,p,vis,Peter H,,,"B,0005,B,0005,,"
-4218,-0.0165,41574.369,p,vis,Peter H,,,"B,0005,B,0005,,"
-4070,-0.0238,41803.593,p,vis,Locher Kurt,,"B,0009,B,0009,,",
-4063,-0.0238,41814.435,p,vis,Peter H,,,"B,0009,B,0009,,"
-4063,-0.0168,41814.442,p,vis,Braune W,,"D,0028,D,Lich,,",
-4052,-0.0173,41831.479,p,pg,Ahnert P,,"I,0828,M,0006,,",
-4043,-0.02,41845.416,p,vis,Peter H,,,"B,0010,B,0010,,"
-4003,-0.0234,41907.367,p,vis,Peter H,,,"B,0011,B,0011,,"
-3983,-0.0246,41938.343,p,vis,Diethelm Roger,,"B,0011,B,0011,,",
-3983,-0.0196,41938.348,p,vis,Locher Kurt,,"B,0011,B,0011,,",
-3983,-0.0176,41938.35,p,vis,Peter H,,,"B,0011,B,0011,,"
-3954,-0.0386,41983.246,p,vis,Locher Kurt,,"B,0012,B,0012,,",
-3806,-0.0288,42212.487,p,vis,Locher Kurt,,"B,0016,B,0016,,",
-3777,-0.0648,42257.368,p,vis,Peter H,,,"B,0016,B,0016,,"
-3777,-0.0388,42257.394,p,vis,Germann R,,"B,0016,B,0016,,",
-3757,-0.027,42288.383,p,vis,Germann R,,"B,0017,B,0017,,",
-3755,-0.0287,42291.479,p,vis,Locher Kurt,,"B,0017,B,0017,,",
-3748,-0.0307,42302.319,p,vis,Germann R,,"B,0017,B,0017,,",
-3748,-0.0307,42302.319,p,vis,Locher Kurt,,"B,0017,B,0017,,",
-3649,-0.0249,42455.662,p,vis,Locher Kurt,,"B,0021,B,0021,,",
-3602,-0.0213,42528.462,p,vis,Diethelm Roger,,"B,0022,B,0022,,",
