8020,-0.177,42579.779,p,pe,Dawson D W,,",,D,Lich,PASP 89.49,",
8022,-0.1789,42580.8014,s,pe,Dawson D W,,",,D,Lich,PASP 89.49,",
8024,-0.1816,42581.413,p,vis,Ralincourt Ph,,"B,0026,B,0026,,",
8025,-0.178,42581.8262,p,V,Barlow D J,,"I,1379,I,1379,,",
8025,-0.1779,42581.8263,p,pe,Dawson D W,,",,D,Lich,PASP 89.49,",
8026,-0.1778,42582.441,s,vis,Figer Alain,,"G,,G,,,",
8041,-0.1789,42588.3797,p,pe,Pop,,,",,D,Lich,AN 298.117,"
8046,-0.1768,42590.43,p,pe,Pop,,,",,D,Lich,AN 298.117,"
8047,-0.178,42590.8385,p,pe,Dawson D W,,",,D,Lich,PASP 89.49,",
8048,-0.1764,42591.4547,s,pe,Pop,,,",,D,Lich,AN 298.117,"
8051,-0.159,42592.496,p,vis,Ralincourt Ph,,"B,0026,B,0026,,",
8053,-0.1743,42593.505,s,vis,Ralincourt Ph,,"B,0026,B,0026,,",
8058,-0.1786,42595.549,s,vis,Raymond R,,"B,0023,B,0023,,",
8061,-0.1945,42596.557,p,vis,Remis Joseph,,"B,0023,B,0023,,",
8070,-0.1864,42600.457,s,vis,Figer Alain,,"G,,G,,,",
8073,-0.1813,42601.486,p,vis,Mauron N,,"B,0024,B,0024,,",
8073,-0.1693,42601.498,p,vis,Figer Alain,,"G,,G,,,",
8082,-0.1801,42605.379,s,pe,Pop,,,",,D,Lich,AN 298.117,"
8090,-0.1713,42608.46,p,vis,Mauron N,,"B,0023,B,0023,,",
8092,-0.1816,42609.474,s,vis,Mauron N,,"B,0023,B,0023,,",
8092,-0.1771,42609.4785,s,pe,Pop,,,",,D,Lich,AN 298.117,"
8095,-0.1786,42610.501,p,vis,Mauron N,,"B,0023,B,0023,,",
8097,-0.1729,42611.326,p,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8105,-0.1766,42614.8044,s,V,Barlow C D,,"I,1379,I,1379,,",
8109,-0.1736,42616.241,p,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8112,-0.1881,42617.4555,p,pe,Pop,,,",,D,Lich,AN 298.117,"
8114,-0.1734,42618.4945,s,pe,Pop,,,",,D,Lich,AN 298.117,"
8116,-0.1752,42619.312,s,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8119,-0.1861,42620.53,s,vis,Remis Joseph,,"B,0023,B,0023,,",
8119,-0.1811,42620.535,s,vis,Le Borgne JeanFr,"B,0023,B,0023,,",,
8121,-0.1462,42621.3892,s,pe,Pop,,,",,D,Lich,AN 298.117,"
8126,-0.1776,42623.406,s,pe,Pop,,,",,D,Lich,AN 298.117,"
8129,-0.1799,42624.4277,p,pe,Pop,,,",,D,Lich,AN 298.117,"
8136,-0.1741,42627.506,s,vis,Ralincourt Ph,,"B,0026,B,0026,,",
8145,-0.173,42631.194,s,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8148,-0.1679,42632.428,s,vis,Ralincourt Ph,,"B,0026,B,0026,,",
8150,-0.1722,42633.243,s,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8162,-0.177,42638.154,s,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8165,-0.1789,42639.381,s,vis,Ralincourt Ph,,"B,0026,B,0026,,",
8167,-0.1772,42640.202,s,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8172,-0.1745,42642.253,s,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8192,-0.1924,42650.428,s,vis,Ralincourt Ph,,"B,0026,B,0026,,",
8195,-0.1794,42651.465,p,vis,Taylor M D,,"R,0003,R,0003,JBAA 87.80,",
8195,-0.1714,42651.473,p,vis,Ralincourt Ph,,"B,0026,B,0026,,",
8209,-0.1724,42657.207,p,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8226,-0.1764,42664.372,s,vis,Ralincourt Ph,,"B,0026,B,0026,,",
8231,-0.1792,42666.4175,s,pe,Pop,,,",,D,Lich,AN 298.117,"
8235,-0.1703,42668.065,s,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8238,-0.1762,42669.083,p,vis,Soviet.Amateur,,",,D,Lich,PZP 3.763,",
8287,-0.171,42689.366,s,vis,Spalding G H,,"R,0003,R,0003,JBAA 87.80,",
8304,-0.191,42696.31,s,vis,Spalding G H,,"R,0003,R,0003,JBAA 87.80,",
8654,-0.1828,42839.695,s,vis,Brelstaff T,,"R,0004,R,0004,,",
8713,-0.181,42863.661,p,vis,Ralincourt Ph,,"B,0027,B,0027,,",
8730,-0.174,42870.632,p,vis,Ralincourt Ph,,"B,0027,B,0027,,",
8732,-0.1863,42871.644,s,vis,Ralincourt Ph,,"B,0027,B,0027,,",
8791,-0.2016,42895.593,p,vis,Poretti Ennio,,"B,0028,B,0028,,",
8805,-0.2016,42901.533,s,vis,Poretti Ennio,,"B,0028,B,0028,,",
8850,0.2012,42920.37,s,vis,Poretti Ennio,,"B,0028,B,0028,,",
8876,-0.1916,42930.423,p,vis,Poretti Ennio,,"B,0028,B,0028,,",
8878,-0.1709,42931.468,s,vis,Ralincourt Ph,,"B,0028,B,0028,,",
8896,-0.1786,42938.834,s,V,Scarfe C D,,"I,1379,I,1379,,",
8920,-0.1832,42948.456,p,vis,Ralincourt Ph,,"B,0028,B,0028,,",
8925,-0.1784,42950.509,p,vis,Ralincourt Ph,,"B,0028,B,0028,,",
8925,-0.1684,42950.519,p,vis,Brelstaff T,,"R,0004,R,0004,,",
8942,-0.1694,42957.482,p,vis,Brelstaff T,,"R,0004,R,0004,,",
8944,-0.1757,42958.5,s,vis,Brelstaff T,,"R,0004,R,0004,,",
8952,-0.1869,42961.561,p,vis,Brelstaff T,,"R,0004,R,0004,,",
8961,-0.2037,42965.436,s,vis,Poretti Ennio,,"B,0029,B,0029,,",
8964,-0.1787,42966.485,p,vis,Brelstaff T,,"R,0004,R,0004,,",
8966,-0.178,42967.51,s,vis,Brelstaff T,,"R,0004,R,0004,,",
8980,0.2,42973.418,p,vis,Diethelm Roger,,"B,0029,B,0029,,",
8981,-0.2017,42973.426,p,vis,Poretti Ennio,,"B,0029,B,0029,,",
8983,-0.204,42974.448,s,vis,Poretti Ennio,,"B,0029,B,0029,,",
8987,0.2024,42976.493,s,vis,Poretti Ennio,,"B,0029,B,0029,,",
8991,-0.1722,42977.552,p,vis,Taylor M D,,"R,0004,R,0004,,",
8996,-0.2014,42979.571,p,vis,Brelstaff T,,"R,0004,R,0004,,",
9002,0.1967,42982.427,p,vis,Poretti Ennio,,"B,0029,B,0029,,",
9005,-0.2022,42983.462,s,vis,Poretti Ennio,,"B,0029,B,0029,,",
9005,-0.1822,42983.482,s,vis,Ralincourt Ph,,"B,0030,B,0030,,",
9008,-0.1962,42984.492,p,vis,Poretti Ennio,,"B,0029,B,0029,,",
9016,-0.1793,42987.7861,p,V,Regan J,,,"I,1379,I,1379,,"
9017,-0.199,42988.381,s,vis,Poretti Ennio,,"B,0029,B,0029,,",
9020,-0.198,42989.406,p,vis,Poretti Ennio,,"B,0029,B,0029,,",
9025,-0.1622,42991.49,p,vis,Brelstaff T,,"R,0004,R,0004,,",
9027,-0.1755,42992.501,s,vis,Ralincourt Ph,,"B,0030,B,0030,,",
9037,-0.204,42996.364,p,vis,Poretti Ennio,,"B,0030,B,0030,,",
9080,0.2032,43014.386,p,vis,Penna M,,,"G,,G,,,"
9086,-0.1827,43016.458,p,vis,Brelstaff T,,"R,0004,R,0004,,",
