-1672,-0.1065,41806.37,p,vis,Peter H,,,"B,0009,B,0009,,"
-1672,-0.1035,41806.373,p,vis,Locher Kurt,,"B,0009,B,0009,,",
-1654,-0.101,41837.588,p,vis,Locher Kurt,,"B,0010,B,0010,,",
-1631,-0.1057,41877.466,p,vis,Locher Kurt,,"B,0010,B,0010,,",
-1470,-0.1164,42156.634,p,vis,Locher Kurt,,"B,0015,B,0015,,",
-1454,-0.1138,42184.381,p,vis,Locher Kurt,,"B,0015,B,0015,,",
-1454,-0.1088,42184.386,p,vis,Peter H,,,"B,0015,B,0015,,"
-1443,-0.1152,42203.454,p,vis,Locher Kurt,,"B,0016,B,0016,,",
-1413,-0.111,42255.479,p,vis,Diethelm Roger,,"B,0016,B,0016,,",
-1210,-0.1139,42607.484,p,vis,Peter H,,,"B,0023,B,0023,,"
-1113,-0.1177,42775.681,p,vis,Locher Kurt,,"B,0025,B,0025,,",
-1056,-0.1214,42874.517,p,vis,Locher Kurt,,"B,0027,B,0027,,",
-1041,-0.1218,42900.527,p,vis,Peter H,,,"B,0028,B,0028,,"
-1041,-0.1208,42900.528,p,vis,Locher Kurt,,"B,0028,B,0028,,",
-1033,-0.119,42914.402,p,vis,Peter H,,,"B,0028,B,0028,,"
-1026,-0.1232,42926.536,p,vis,Peter H,,,"B,0028,B,0028,,"
-1007,-0.1218,42959.484,p,vis,Peter H,,,"B,0028,B,0028,,"
-823,-0.1341,43278.533,p,vis,Locher Kurt,,"B,0033,B,0033,,",
-808,-0.1336,43304.544,p,vis,Locher Kurt,,"B,0033,B,0033,,",
-804,-0.1317,43311.482,p,vis,Locher Kurt,,"B,0033,B,0033,,",
-785,-0.1372,43344.423,p,vis,Locher Kurt,,"B,0034,B,0034,,",
-785,-0.1272,43344.433,p,vis,Germann R,,"B,0034,B,0034,,",
-605,-0.1385,43656.547,p,vis,Peter H,,,"B,0037,B,0037,,"
-605,-0.1375,43656.548,p,vis,Locher Kurt,,"B,0037,B,0037,,",
-601,-0.1386,43663.483,p,vis,Peter H,,,"B,0037,B,0037,,"
-601,-0.1366,43663.485,p,vis,Locher Kurt,,"B,0037,B,0037,,",
-586,-0.137,43689.495,p,vis,Peter H,,,"B,0037,B,0037,,"
-586,-0.123,43689.509,p,vis,Locher Kurt,,"B,0037,B,0037,,",
-544,-0.1402,43762.321,p,vis,Peter H,,,"B,0039,B,0039,,"
-394,-0.1396,44022.426,p,vis,Locher Kurt,,"B,0043,B,0043,,",
-394,-0.1366,44022.429,p,vis,Peter H,,,"B,0043,B,0043,,"
-379,-0.144,44048.432,p,vis,Germann R,,"B,0044,B,0044,,",
-379,-0.138,44048.438,p,vis,Peter H,,,"B,0044,B,0044,,"
-222,-0.1616,44320.657,p,vis,Locher Kurt,,"B,0047,B,0047,,",
-199,-0.1392,44360.562,p,vis,Locher Kurt,,"B,0047,B,0047,,",
-142,-0.1379,44459.403,p,vis,Peter H,,,"B,0049,B,0049,,"
-7,-0.1428,44693.492,p,vis,Locher Kurt,,"B,0053,B,0053,,",
0,-0.143,44705.63,p,vis,Locher Kurt,,"B,0054,B,0054,,",
12,-0.1393,44726.442,p,vis,Locher Kurt,,"B,0054,B,0054,,",
38,-0.1361,44771.53,p,vis,Locher Kurt,,"B,0055,B,0055,,",
80,-0.1433,44844.352,p,vis,Peter H,,,"B,0056,B,0056,,"
99,-0.1439,44877.298,p,vis,Locher Kurt,,"B,0056,B,0056,,",
99,-0.1439,44877.298,p,vis,Peter H,,,"B,0056,B,0056,,"
173,-0.146,45005.614,p,vis,Locher Kurt,,"B,0059,B,0059,,",
207,-0.148,45064.569,p,vis,Locher Kurt,,"B,0060,B,0060,,",
215,-0.1532,45078.436,p,vis,Locher Kurt,,"B,0060,B,0060,,",
215,-0.1492,45078.44,p,vis,Peter H,,,"B,0060,B,0060,,"
230,-0.1527,45104.447,p,vis,Peter H,,,"B,0060,B,0060,,"
234,-0.1568,45111.379,p,vis,Stefanopoulos G,,"B,0061,B,0061,,",
234,-0.1518,45111.384,p,vis,Mavrofridis G,,"B,0060,B,0060,,",
264,-0.1507,45163.406,p,vis,Peter H,,,"B,0061,B,0061,,"
283,-0.1522,45196.351,p,vis,Germann R,,"B,0062,B,0062,,",
283,-0.1512,45196.352,p,vis,Peter H,,,"B,0062,B,0062,,"
298,-0.1616,45222.352,p,vis,Germann R,,"B,0062,B,0062,,",
418,-0.1511,45430.446,p,vis,Locher Kurt,,"B,0066,B,0066,,",
452,-0.1571,45489.397,p,vis,Germann R,,"B,0067,B,0067,,",
452,-0.1501,45489.404,p,vis,Locher Kurt,,"B,0067,B,0067,,",
452,-0.1501,45489.404,p,vis,Peter H,,,"B,0067,B,0067,,"
456,-0.1492,45496.341,p,vis,Stoikidis N,,"B,0067,B,0067,,",
478,-0.1539,45534.485,p,vis,Peter H,,,"B,0067,B,0067,,"
575,-0.1497,45702.69,p,vis,Locher Kurt,,"B,0070,B,0070,,",
659,-0.1441,45848.354,p,vis,Stoikidis N,,"B,0073,B,0073,,",
670,-0.1514,45867.421,p,vis,Peter H,,,"B,0072,B,0072,,"
681,-0.1537,45886.493,p,vis,Peter H,,,"B,0073,B,0073,,"
869,-0.1542,46212.49,p,vis,Locher Kurt,,"B,0077,B,0077,,",
869,-0.1502,46212.494,p,vis,Silhan Jindrich,,"C,0027,C,0027,,",
899,-0.1611,46264.504,p,vis,Germann R,,"B,0077,B,0077,,",
899,-0.1511,46264.514,p,vis,Peter H,,,"B,0077,B,0077,,"
903,-0.1492,46271.452,p,vis,Kohl Michael,,"B,0077,B,0077,,",
903,-0.1492,46271.452,p,vis,Peter H,,,"B,0077,B,0077,,"
903,-0.1492,46271.452,p,vis,Svoboda P Pr,,"C,0027,C,0027,,",
903,-0.1482,46271.453,p,vis,Paschke Anton,,"C,0027,C,0027,,",
926,-0.1529,46311.331,p,vis,Locher Kurt,,"B,0078,B,0078,,",
926,-0.1499,46311.334,p,vis,Peter H,,,"B,0078,B,0078,,"
1091,-0.1476,46597.451,p,vis,Locher Kurt,,"B,0080,B,0080,,",
1144,-0.1592,46689.343,p,vis,Locher Kurt,,"B,0081,B,0081,,",
1237,-0.1529,46850.614,p,vis,Locher Kurt,,"B,0082,B,0082,,",
1260,-0.1495,46890.5,p,vis,Locher Kurt,,"B,0083,B,0083,,",
1309,-0.157,46975.46,p,vis,Locher Kurt,,"B,0084,B,0084,,",
1309,-0.152,46975.465,p,vis,Peter H,,,"B,0084,B,0084,,"
1309,-0.147,46975.47,p,vis,Paschke Anton,,"B,0086,B,0086,,",
1436,-0.1606,47195.678,p,vis,Locher Kurt,,"B,0087,B,0087,,",
1470,-0.1676,47254.628,p,vis,Locher Kurt,,"B,0088,B,0088,,",
1493,-0.1563,47294.522,p,vis,Zahajsky J,,"C,0030,C,0030,,",
1527,-0.1573,47353.478,p,vis,Dedoch A,,"C,0030,C,0030,,",
1527,-0.1543,47353.481,p,vis,Peter H,,,"B,0089,B,0089,,"
1688,-0.17,47632.644,p,vis,Locher Kurt,,"B,0091,B,0091,,",
1719,-0.1599,47686.409,p,vis,Locher Kurt,,"B,0092,B,0092,,",
1857,-0.1539,47925.711,p,vis,Locher Kurt,,"B,0094,B,0094,,",
1907,-0.1563,48012.41,p,vis,Peter H,,,"B,0095,B,0095,,"
1956,-0.1617,48097.372,p,vis,Locher Kurt,,"B,0096,B,0096,,",
2094,-0.1537,48336.676,p,vis,Locher Kurt,,"B,0097,B,0097,,",
2106,-0.1511,48357.487,p,vis,Peter H,,,"B,0097,B,0097,,"
2125,-0.1526,48390.432,p,vis,Peter H,,,"B,0098,B,0098,,"
2155,-0.1485,48442.457,p,vis,Peter H,,,"B,0098,B,0098,,"
2174,-0.151,48475.401,p,vis,Peter H,,,"B,0098,B,0098,,"
2178,-0.1532,48482.335,p,vis,Locher Kurt,,"B,0098,B,0098,,",
2267,-0.1507,48636.666,p,vis,Locher Kurt,,"B,0100,B,0100,,",
2339,-0.1538,48761.513,p,vis,Locher Kurt,,"B,0101,B,0101,,",
2343,-0.1529,48768.45,p,vis,Peter H,,,"B,0101,B,0101,,"
2362,-0.1575,48801.392,p,vis,Peter H,,,"B,0101,B,0101,,"
2373,-0.1558,48820.468,p,vis,Peter H,,,"B,0101,B,0101,,"
2377,-0.1549,48827.405,p,vis,Peter H,,,"B,0101,B,0101,,"
2396,-0.1545,48860.352,p,vis,Peter H,,,"B,0102,B,0102,,"
2557,-0.1592,49139.526,p,vis,Locher Kurt,,"B,0104,B,0104,,",
2734,-0.1523,49446.456,p,vis,Locher Kurt,,"B,0106,B,0106,,",
2749,-0.1547,49472.464,p,vis,Peter H,,,"B,0106,B,0106,,"
2794,-0.153,49550.497,p,vis,Locher Kurt,,"B,0107,B,0107,,",
2944,-0.1464,49810.608,p,vis,Locher Kurt,,"B,0109,B,0109,,",
2982,-0.1479,49876.4996,p,ccd,Paragi Z,,"I,4555,I,4555,,Ba50",
3143,-0.1471,50155.679,p,vis,Locher Kurt,,"B,0111,B,0111,,",
3174,-0.139,50209.442,p,vis,Peter H,,,"B,0112,B,0112,,"
3200,-0.1428,50254.523,p,vis,Locher Kurt,,"B,0112,B,0112,,",
3346,-0.139,50507.695,p,vis,Locher Kurt,,"B,0114,B,0114,,",
3387,-0.1402,50578.789,p,vis,Samolyk G,,"A,0011,,,,",
3396,-0.1405,50594.395,p,vis,Locher Kurt,,"B,0115,B,0115,,",
3422,-0.1424,50639.4778,p,vis,Netolicky M,,"C,0032,,,,RF200",
3422,-0.1402,50639.48,p,vis,Peter H,,,"B,0115,B,0115,,"
3441,-0.1348,50672.432,p,vis,Peter H,,,"B,0115,B,0115,,"
3445,-0.1369,50679.366,p,vis,Peter H,,,"B,0115,B,0115,,"
3587,-0.139,50925.596,p,vis,Locher Kurt,,"B,0117,B,0117,,",
3609,-0.1387,50963.745,p,vis,Samolyk G,,"A,0011,,,,",
3621,-0.138,50984.554,p,vis,Locher Kurt,,"B,0118,B,0118,,",
3644,-0.1377,51024.437,p,vis,Kohl Michael,,"B,0118,B,0118,,",
3775,-0.1365,51251.596,p,,Locher Kurt,,"B,0120,B,0120,,",
3788,-0.1329,51274.142,p,ccd,Paschke Anton,,"0,home,,,,Rotse",
3997,-0.1289,51636.558,p,vis,Locher Kurt,,"B,0122,B,0122,,",
4016,-0.1274,51669.5061,p,,Raetz Manfred,,"D,0152,I,5296,,ST-6",
4050,-0.1245,51728.466,p,vis,Locher Kurt,,"B,0123,B,0123,,",
4230,-0.1237,52040.592,p,vis,Locher Kurt,,"B,0125,B,0125,,",
4241,-0.1194,52059.6706,p,ccd,Samolyk G,,"A,0011,,,,",
4267,-0.1207,52104.754,p,vis,Samolyk G,,"A,0011,,,,",
4407,-0.1158,52347.523,p,vis,Locher Kurt,,"B,0127,B,0127,,",
4452,-0.1161,52425.554,p,vis,Locher Kurt,,"B,0128,B,0128,,",
4512,-0.1184,52529.5934,p,ccd,Samolyk G,,"A,0011,,,,",
4624,-0.1192,52723.8039,p,V,Dvorak S W,,"I,5502,,,,",
4678,-0.1177,52817.443,p,vis,Locher Kurt,,"B,0129,I,5438,,",
4711,-0.1182,52874.6654,p,ccd,Hesseltine C,,"A,0011,,,,",
4839,-0.1143,53096.625,p,vis,Locher Kurt,,"B,0130,I,5543,,",
4900,-0.1061,53202.409,p,vis,Locher Kurt,,"E,0003,,,,",
5098,-0.1095,53545.7433,p,ccd,Bialozynski J,,"A,0011,,,,",
5102,-0.11,53552.679,p,ccd,Cook S,,,"A,0011,,,,"
5103,-0.114,53554.409,p,vis,Locher Kurt,,"E,0003,,,,",
5244,-0.1049,53798.9162,p,ccd,Samolyk G,,"A,0011,,,,",
5253,-0.105,53814.5223,p,ccd,Moschner W,,"D,0178,I,5731,,",
5253,-0.1047,53814.5226,p,ccdI,Smelcer L,,"C,0034,E,0074,,RL280",
5272,-0.1049,53847.469,p,ccdR,Smelcer L,,"C,0034,E,0074,,RL280",
5306,-0.1028,53906.4281,p,ccdR,Smelcer L,,"C,0034,E,0074,,RL280",
5325,-0.1019,53939.3755,p,ccdI,Smelcer L,,"C,0034,E,0074,,RL280",
5349,-0.1041,53980.99,p,vis,Hirosawa Kenji,,"J,0045,,,,28SC",
5500,-0.0988,54242.8337,p,ccd,Bialozynski J,,"A,0012,,,,",
5505,-0.0986,54251.504,p,-Ir,Agerer Franz,,"D,0186,I,5802,,ST-6",
5697,-0.1011,54584.4351,p,R,Smelcer Ladislav,"C,0035,E,0094,,280/1765+ST7",,
5697,-0.101,54584.4352,p,I,Smelcer Ladislav,"C,0035,E,0094,,280/1765+ST7",,
5715,-0.0896,54616.5261,s,-Ir,Agerer Franz,,"D,0201,I,5874,,Sigma 1603",
5722,-0.1007,54627.7862,p,ccd,Bialozynski J,,"A,0086,,,,",
5737,-0.1006,54653.7968,p,ccd,Samolyk G,,"A,0086,,,,",
5899,-0.0966,54935.5805,s,I,Liakos A,,"I,5897,,,,",
5919,-0.0969,54969.3938,p,R,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
5919,-0.0968,54969.3939,p,I,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
5919,-0.0968,54969.3939,p,V,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
5929,-0.0962,54986.7347,p,ccd,Samolyk G,,"A,0109,,,,",
5930,-0.0965,54988.4685,p,BVRI,Liakos A,,"I,5897,,,,",
5971,-0.0952,55059.565,p,ccd,Menzies K,,"A,0109,,,,",
6113,-0.0887,55305.8036,p,ccd,Samolyk G,,"A,0130,,,,",
6133,-0.0873,55340.4855,p,R,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
6133,-0.0868,55340.4861,p,-Ir,Agerer Franz,,"D,0214,I,5959,,Sigma 1603",
6133,-0.0867,55340.4861,p,I,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
6335,-0.0773,55690.7694,p,V,Diethelm Roger,,"I,5992,,,,",
6586,-0.0644,56126.0236,p,cG,Hirosawa Kenji,,"J,0055,,,,13R+CANON-EO",
6753,-0.0583,56416.4795,s,VRI,Engin Bahar,,"I,6125,,,,",
6779,-0.0612,56460.6944,p,V,Samolyk G,,"A,0042,,,JAAVSO 42,",
6983,-0.052,56814.4455,p,-I,Agerer Franz,,"D,0238,I,6149,,Sigma 1603",
7148,-0.0428,57100.5695,p,I,Smelcer L,,"C,0040,E,0179,,Celestron 28",
